Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-01-29 09:30:00-05:00,8.34000015258789,8.34000015258789,7.860000133514404,7.965000152587891,6378410,0.0,0.0,0.0
2026-01-29 09:45:00-05:00,7.96999979019165,8.079999923706055,7.610000133514404,7.630000114440918,2744319,0.0,0.0,0.0
2026-01-29 10:00:00-05:00,7.630000114440918,7.670000076293945,7.270699977874756,7.28000020980835,2490562,0.0,0.0,0.0
2026-01-29 10:15:00-05:00,7.28000020980835,7.430699825286865,7.250500202178955,7.260000228881836,1750556,0.0,0.0,0.0
2026-01-29 10:30:00-05:00,7.25,7.277299880981445,6.925000190734863,6.934999942779541,2048652,0.0,0.0,0.0
2026-01-29 10:45:00-05:00,6.940000057220459,7.014999866485596,6.800000190734863,7.011000156402588,2532755,0.0,0.0,0.0
2026-01-29 11:00:00-05:00,7.019999980926514,7.029699802398682,6.775000095367432,6.900000095367432,1910777,0.0,0.0,0.0
2026-01-29 11:15:00-05:00,6.894999980926514,7.079999923706055,6.894999980926514,7.0,1070469,0.0,0.0,0.0
2026-01-29 11:30:00-05:00,6.999125003814697,7.039999961853027,6.849999904632568,6.909800052642822,1173525,0.0,0.0,0.0
2026-01-29 11:45:00-05:00,6.90500020980835,7.065000057220459,6.869999885559082,7.059999942779541,856883,0.0,0.0,0.0
2026-01-29 12:00:00-05:00,7.059999942779541,7.149899959564209,6.951399803161621,7.050000190734863,845245,0.0,0.0,0.0
2026-01-29 12:15:00-05:00,7.058599948883057,7.159999847412109,6.949999809265137,7.125,852004,0.0,0.0,0.0
2026-01-29 12:30:00-05:00,7.119999885559082,7.130000114440918,6.969900131225586,7.059000015258789,764703,0.0,0.0,0.0
2026-01-29 12:45:00-05:00,7.045000076293945,7.050000190734863,6.940000057220459,6.949699878692627,590975,0.0,0.0,0.0
2026-01-29 13:00:00-05:00,6.960000038146973,6.989999771118164,6.869999885559082,6.920000076293945,647142,0.0,0.0,0.0
2026-01-29 13:15:00-05:00,6.909999847412109,6.945000171661377,6.809999942779541,6.826200008392334,694682,0.0,0.0,0.0
2026-01-29 13:30:00-05:00,6.820000171661377,6.824999809265137,6.610000133514404,6.739999771118164,2016155,0.0,0.0,0.0
2026-01-29 13:45:00-05:00,6.730000019073486,6.739999771118164,6.630000114440918,6.670000076293945,725618,0.0,0.0,0.0
2026-01-29 14:00:00-05:00,6.659999847412109,6.688399791717529,6.619999885559082,6.640100002288818,459602,0.0,0.0,0.0
2026-01-29 14:15:00-05:00,6.644999980926514,6.71999979019165,6.599999904632568,6.639999866485596,573652,0.0,0.0,0.0
2026-01-29 14:30:00-05:00,6.639999866485596,6.670000076293945,6.59499979019165,6.644999980926514,524384,0.0,0.0,0.0
2026-01-29 14:45:00-05:00,6.650000095367432,6.730000019073486,6.640200138092041,6.6493000984191895,593269,0.0,0.0,0.0
2026-01-29 15:00:00-05:00,6.650000095367432,6.690000057220459,6.6020002365112305,6.659999847412109,510830,0.0,0.0,0.0
2026-01-29 15:15:00-05:00,6.65939998626709,6.690000057220459,6.519999980926514,6.559999942779541,1042186,0.0,0.0,0.0
2026-01-29 15:30:00-05:00,6.558700084686279,6.78980016708374,6.554999828338623,6.78000020980835,688487,0.0,0.0,0.0
2026-01-29 15:45:00-05:00,6.770599842071533,6.929999828338623,6.760000228881836,6.929999828338623,757346,0.0,0.0,0.0
